FULL_NAME,TEAM_NAME,BROWNLOW_POINTS,SEASON
NICK DAICOS,Collingwood,34,2023
TIM TARANTO,Richmond,31,2023
ZAK BUTTERS,Port Adelaide,28,2023
CHRISTIAN PETRACCA,Melbourne,27,2023
MARCUS BONTEMPELLI,Western Bulldogs,26,2023
CALEB SERONG,Fremantle,26,2023
LACHIE NEALE,Brisbane Lions,25,2023
ERROL GULDEN,Sydney Swans,24,2023
CONNOR ROZEE,Port Adelaide,24,2023
TOBY GREENE,GWS GIANTS,23,2023
