FULL_NAME,TEAM_NAME,BROWNLOW_POINTS,SEASON
NICK DAICOS,Collingwood,41,2024
PATRICK CRIPPS,Carlton,40,2024
ROWAN MARSHALL,St Kilda,28,2024
LACHIE NEALE,Brisbane Lions,23,2024
ADAM TRELOAR,Western Bulldogs,23,2024
MARCUS BONTEMPELLI,Western Bulldogs,23,2024
CHAD WARNER,Sydney Swans,22,2024
TOM GREEN,GWS GIANTS,21,2024
CALEB SERONG,Fremantle,21,2024
ZAK BUTTERS,Port Adelaide,21,2024
